"","CommodityCode","LineCode","PCECategory","CommodityDescription","ProducersValue","Transportation Costs","Wholesale","Retail","PurchasersValue","Year","ProducersValuebyCommodityCode","Mapping_ratio"
"17","311FT","28","Alcoholic beverages purchased for off-premises consumption","Food and beverage and tobacco products",58973,"1584","41365","45533","147456","2017",584356,0.100919644874015
"18","311FT","41","Recreational items","Food and beverage and tobacco products",20742,"452","5342","21417","47953","2017",584356,0.0354954856286236
"19","311FT","44","Tobacco","Food and beverage and tobacco products",56674,"710","31459","26120","114963","2017",584356,0.0969853993113787
"20","311FT","84","Food furnished to employees (including military)","Food and beverage and tobacco products",19635,"413","3294","0","23342","2017",584356,0.0336010924847182
"21","313TT","9","Furniture and furnishings","Textile mills and textile product mills",8703,"416","3007","13384","25510","2017",21049,0.413463822509383
"22","313TT","12","Tools and equipment for house and garden","Textile mills and textile product mills",27,"2","16","60","104","2017",21049,0.00128272126941897
"23","313TT","15","Sporting equipment, supplies, guns, and ammunition","Textile mills and textile product mills",1083,"57","588","1081","2809","2017",21049,0.05145137536225
"24","313TT","32","Womens and girls clothing","Textile mills and textile product mills",45,"2","19","76","142","2017",21049,0.00213786878236496
"25","313TT","33","Mens and boys clothing","Textile mills and textile product mills",4,"0","1","5","10","2017",21049,0.000190032780654663
"26","313TT","34","Childrens and infants clothing","Textile mills and textile product mills",254,"11","150","522","936","2017",21049,0.0120670815715711
"27","313TT","35","Other clothing materials and footwear","Textile mills and textile product mills",954,"40","150","1269","2414","2017",21049,0.0453228181861371
"28","313TT","41","Recreational items","Textile mills and textile product mills",34,"2","19","35","89","2017",21049,0.00161527863556463
"29","313TT","42","Household supplies","Textile mills and textile product mills",9470,"552","3059","20855","33936","2017",21049,0.449902608199915
"30","313TT","43","Personal care products","Textile mills and textile product mills",475,"20","280","495","1270","2017",21049,0.0225663927027412
"31","315AL","9","Furniture and furnishings","Apparel and leather and allied products",136,"6","80","193","414","2017",143632,0.000946864208532917
"32","315AL","14","Video, audio, photographic, and information processing equipment and media","Apparel and leather and allied products",15,"1","4","8","27","2017",143632,0.000104433552411719
"33","315AL","15","Sporting equipment, supplies, guns, and ammunition","Apparel and leather and allied products",187,"8","110","187","492","2017",143632,0.00130193828673276
"34","315AL","18","Musical instruments","Apparel and leather and allied products",189,"8","47","135","380","2017",143632,0.00131586276038766
"35","315AL","23","Luggage and similar personal items","Apparel and leather and allied products",11319,"473","3670","10760","26223","2017",143632,0.078805558649883
"36","315AL","32","Womens and girls clothing","Apparel and leather and allied products",56179,"2386","22711","94506","175781","2017",143632,0.391131502729197
"37","315AL","33","Mens and boys clothing","Apparel and leather and allied products",40423,"1728","19358","48427","109936","2017",143632,0.281434499275927
"38","315AL","34","Childrens and infants clothing","Apparel and leather and allied products",3089,"129","1244","5197","9659","2017",143632,0.0215063495599866
"39","315AL","35","Other clothing materials and footwear","Apparel and leather and allied products",31180,"1309","17256","37678","87423","2017",143632,0.217082544279826
"40","315AL","41","Recreational items","Apparel and leather and allied products",301,"13","177","311","802","2017",143632,0.00209563328506182
"41","315AL","42","Household supplies","Apparel and leather and allied products",387,"16","156","870","1429","2017",143632,0.00269438565222235
"42","315AL","43","Personal care products","Apparel and leather and allied products",227,"10","91","236","564","2017",143632,0.00158042775983068
"43","321","9","Furniture and furnishings","Wood products",968,"67","175","1339","2549","2017",3143,0.307986000636335
"44","321","11","Glassware, tableware and household utensils","Wood products",791,"49","137","90","1067","2017",3143,0.251670378619154
"45","321","12","Tools and equipment for house and garden","Wood products",31,"2","5","116","154","2017",3143,0.00986318803690741
"46","321","23","Luggage and similar personal items","Wood products",175,"7","103","249","533","2017",3143,0.0556792873051225
"47","321","38","Fuel oil and other fuels","Wood products",578,"37","145","264","1025","2017",3143,0.183900731784919
"48","321","42","Household supplies","Wood products",600,"39","99","693","1431","2017",3143,0.190900413617563
"49","322","34","Childrens and infants clothing","Paper products",3447,"152","560","7093","11251","2017",22678,0.151997530646441
"50","322","41","Recreational items","Paper products",172,"12","28","198","410","2017",22678,0.00758444307258136
"51","322","42","Household supplies","Paper products",14663,"739","2381","16943","34727","2017",22678,0.646573771937561
"52","322","43","Personal care products","Paper products",3654,"162","593","7467","11876","2017",22678,0.161125319693095
